,RENGLON,AÑO,ENTIDAD,CVE_GEO,EDAD,SEXO,POBLACION
15400,15401,2020,República Mexicana,0,0,Hombres,1091687
15401,15402,2020,República Mexicana,0,0,Mujeres,1052401
15402,15403,2020,República Mexicana,0,1,Hombres,1097654
15403,15404,2020,República Mexicana,0,1,Mujeres,1058807
15404,15405,2020,República Mexicana,0,2,Hombres,1105012
15405,15406,2020,República Mexicana,0,2,Mujeres,1066122
15406,15407,2020,República Mexicana,0,3,Hombres,1112736
15407,15408,2020,República Mexicana,0,3,Mujeres,1073481
15408,15409,2020,República Mexicana,0,4,Hombres,1117823
15409,15410,2020,República Mexicana,0,4,Mujeres,1078372
15410,15411,2020,República Mexicana,0,5,Hombres,1122224
15411,15412,2020,República Mexicana,0,5,Mujeres,1082829
15412,15413,2020,República Mexicana,0,6,Hombres,1123663
15413,15414,2020,República Mexicana,0,6,Mujeres,1084518
15414,15415,2020,República Mexicana,0,7,Hombres,1125341
15415,15416,2020,República Mexicana,0,7,Mujeres,1085467
15416,15417,2020,República Mexicana,0,8,Hombres,1126119
15417,15418,2020,República Mexicana,0,8,Mujeres,1085883
15418,15419,2020,República Mexicana,0,9,Hombres,1127101
15419,15420,2020,República Mexicana,0,9,Mujeres,1087309
15420,15421,2020,República Mexicana,0,10,Hombres,1129120
15421,15422,2020,República Mexicana,0,10,Mujeres,1089031
15422,15423,2020,República Mexicana,0,11,Hombres,1131133
15423,15424,2020,República Mexicana,0,11,Mujeres,1091745
15424,15425,2020,República Mexicana,0,12,Hombres,1132252
15425,15426,2020,República Mexicana,0,12,Mujeres,1093059
15426,15427,2020,República Mexicana,0,13,Hombres,1134445
15427,15428,2020,República Mexicana,0,13,Mujeres,1094271
15428,15429,2020,República Mexicana,0,14,Hombres,1136670
15429,15430,2020,República Mexicana,0,14,Mujeres,1096580
15430,15431,2020,República Mexicana,0,15,Hombres,1136610
15431,15432,2020,República Mexicana,0,15,Mujeres,1097458
15432,15433,2020,República Mexicana,0,16,Hombres,1131080
15433,15434,2020,República Mexicana,0,16,Mujeres,1094020
15434,15435,2020,República Mexicana,0,17,Hombres,1123516
15435,15436,2020,República Mexicana,0,17,Mujeres,1090074
15436,15437,2020,República Mexicana,0,18,Hombres,1116304
15437,15438,2020,República Mexicana,0,18,Mujeres,1087150
15438,15439,2020,República Mexicana,0,19,Hombres,1108369
15439,15440,2020,República Mexicana,0,19,Mujeres,1083457
15440,15441,2020,República Mexicana,0,20,Hombres,1101614
15441,15442,2020,República Mexicana,0,20,Mujeres,1079173
15442,15443,2020,República Mexicana,0,21,Hombres,1096763
15443,15444,2020,República Mexicana,0,21,Mujeres,1075367
15444,15445,2020,República Mexicana,0,22,Hombres,1092682
15445,15446,2020,República Mexicana,0,22,Mujeres,1073562
15446,15447,2020,República Mexicana,0,23,Hombres,1089411
15447,15448,2020,República Mexicana,0,23,Mujeres,1074307
15448,15449,2020,República Mexicana,0,24,Hombres,1087107
15449,15450,2020,República Mexicana,0,24,Mujeres,1076216
15450,15451,2020,República Mexicana,0,25,Hombres,1083799
15451,15452,2020,República Mexicana,0,25,Mujeres,1076571
15452,15453,2020,República Mexicana,0,26,Hombres,1075914
15453,15454,2020,República Mexicana,0,26,Mujeres,1072746
15454,15455,2020,República Mexicana,0,27,Hombres,1064425
15455,15456,2020,República Mexicana,0,27,Mujeres,1066952
15456,15457,2020,República Mexicana,0,28,Hombres,1048058
15457,15458,2020,República Mexicana,0,28,Mujeres,1058863
15458,15459,2020,República Mexicana,0,29,Hombres,1025774
15459,15460,2020,República Mexicana,0,29,Mujeres,1046978
15460,15461,2020,República Mexicana,0,30,Hombres,1002108
15461,15462,2020,República Mexicana,0,30,Mujeres,1034292
15462,15463,2020,República Mexicana,0,31,Hombres,979766
15463,15464,2020,República Mexicana,0,31,Mujeres,1022936
15464,15465,2020,República Mexicana,0,32,Hombres,956251
15465,15466,2020,República Mexicana,0,32,Mujeres,1010182
15466,15467,2020,República Mexicana,0,33,Hombres,932703
15467,15468,2020,República Mexicana,0,33,Mujeres,996427
15468,15469,2020,República Mexicana,0,34,Hombres,909880
15469,15470,2020,República Mexicana,0,34,Mujeres,982517
15470,15471,2020,República Mexicana,0,35,Hombres,887098
15471,15472,2020,República Mexicana,0,35,Mujeres,968344
15472,15473,2020,República Mexicana,0,36,Hombres,864376
15473,15474,2020,República Mexicana,0,36,Mujeres,954017
15474,15475,2020,República Mexicana,0,37,Hombres,842922
15475,15476,2020,República Mexicana,0,37,Mujeres,940160
15476,15477,2020,República Mexicana,0,38,Hombres,823424
15477,15478,2020,República Mexicana,0,38,Mujeres,926656
15478,15479,2020,República Mexicana,0,39,Hombres,806744
15479,15480,2020,República Mexicana,0,39,Mujeres,913879
15480,15481,2020,República Mexicana,0,40,Hombres,793557
15481,15482,2020,República Mexicana,0,40,Mujeres,902423
15482,15483,2020,República Mexicana,0,41,Hombres,783684
15483,15484,2020,República Mexicana,0,41,Mujeres,892232
15484,15485,2020,República Mexicana,0,42,Hombres,776755
15485,15486,2020,República Mexicana,0,42,Mujeres,883168
15486,15487,2020,República Mexicana,0,43,Hombres,772504
15487,15488,2020,República Mexicana,0,43,Mujeres,875150
15488,15489,2020,República Mexicana,0,44,Hombres,770091
15489,15490,2020,República Mexicana,0,44,Mujeres,867726
15490,15491,2020,República Mexicana,0,45,Hombres,763900
15491,15492,2020,República Mexicana,0,45,Mujeres,855445
15492,15493,2020,República Mexicana,0,46,Hombres,755106
15493,15494,2020,República Mexicana,0,46,Mujeres,840602
15494,15495,2020,República Mexicana,0,47,Hombres,742891
15495,15496,2020,República Mexicana,0,47,Mujeres,822899
15496,15497,2020,República Mexicana,0,48,Hombres,727356
15497,15498,2020,República Mexicana,0,48,Mujeres,802595
15498,15499,2020,República Mexicana,0,49,Hombres,709087
15499,15500,2020,República Mexicana,0,49,Mujeres,780716
15500,15501,2020,República Mexicana,0,50,Hombres,689830
15501,15502,2020,República Mexicana,0,50,Mujeres,757916
15502,15503,2020,República Mexicana,0,51,Hombres,669464
15503,15504,2020,República Mexicana,0,51,Mujeres,734584
15504,15505,2020,República Mexicana,0,52,Hombres,648706
15505,15506,2020,República Mexicana,0,52,Mujeres,711431
15506,15507,2020,República Mexicana,0,53,Hombres,628210
15507,15508,2020,República Mexicana,0,53,Mujeres,688981
15508,15509,2020,República Mexicana,0,54,Hombres,608191
15509,15510,2020,República Mexicana,0,54,Mujeres,667410
15510,15511,2020,República Mexicana,0,55,Hombres,588320
15511,15512,2020,República Mexicana,0,55,Mujeres,646276
15512,15513,2020,República Mexicana,0,56,Hombres,568276
15513,15514,2020,República Mexicana,0,56,Mujeres,625200
15514,15515,2020,República Mexicana,0,57,Hombres,547962
15515,15516,2020,República Mexicana,0,57,Mujeres,604056
15516,15517,2020,República Mexicana,0,58,Hombres,527022
15517,15518,2020,República Mexicana,0,58,Mujeres,582367
15518,15519,2020,República Mexicana,0,59,Hombres,505276
15519,15520,2020,República Mexicana,0,59,Mujeres,559844
15520,15521,2020,República Mexicana,0,60,Hombres,482673
15521,15522,2020,República Mexicana,0,60,Mujeres,536378
15522,15523,2020,República Mexicana,0,61,Hombres,459276
15523,15524,2020,República Mexicana,0,61,Mujeres,512018
15524,15525,2020,República Mexicana,0,62,Hombres,435347
15525,15526,2020,República Mexicana,0,62,Mujeres,487088
15526,15527,2020,República Mexicana,0,63,Hombres,411240
15527,15528,2020,República Mexicana,0,63,Mujeres,461979
15528,15529,2020,República Mexicana,0,64,Hombres,387375
15529,15530,2020,República Mexicana,0,64,Mujeres,437155
15530,15531,2020,República Mexicana,0,65,Hombres,364022
15531,15532,2020,República Mexicana,0,65,Mujeres,412881
15532,15533,2020,República Mexicana,0,66,Hombres,340623
15533,15534,2020,República Mexicana,0,66,Mujeres,389005
15534,15535,2020,República Mexicana,0,67,Hombres,318809
15535,15536,2020,República Mexicana,0,67,Mujeres,365447
15536,15537,2020,República Mexicana,0,68,Hombres,296843
15537,15538,2020,República Mexicana,0,68,Mujeres,342414
15538,15539,2020,República Mexicana,0,69,Hombres,275479
15539,15540,2020,República Mexicana,0,69,Mujeres,320050
15540,15541,2020,República Mexicana,0,70,Hombres,259023
15541,15542,2020,República Mexicana,0,70,Mujeres,303128
15542,15543,2020,República Mexicana,0,71,Hombres,241330
15543,15544,2020,República Mexicana,0,71,Mujeres,284171
15544,15545,2020,República Mexicana,0,72,Hombres,224378
15545,15546,2020,República Mexicana,0,72,Mujeres,266037
15546,15547,2020,República Mexicana,0,73,Hombres,208235
15547,15548,2020,República Mexicana,0,73,Mujeres,248778
15548,15549,2020,República Mexicana,0,74,Hombres,192781
15549,15550,2020,República Mexicana,0,74,Mujeres,232213
15550,15551,2020,República Mexicana,0,75,Hombres,178113
15551,15552,2020,República Mexicana,0,75,Mujeres,216485
15552,15553,2020,República Mexicana,0,76,Hombres,163839
15553,15554,2020,República Mexicana,0,76,Mujeres,201075
15554,15555,2020,República Mexicana,0,77,Hombres,150405
15555,15556,2020,República Mexicana,0,77,Mujeres,186497
15556,15557,2020,República Mexicana,0,78,Hombres,138106
15557,15558,2020,República Mexicana,0,78,Mujeres,173102
15558,15559,2020,República Mexicana,0,79,Hombres,125740
15559,15560,2020,República Mexicana,0,79,Mujeres,159393
15560,15561,2020,República Mexicana,0,80,Hombres,113761
